date_time;daylight_time;civil_twilight;sun_noon_01;daylight_01;civil_twilight_01
2014-12-07 06:00:00;0 days 00:00:00.000000000;0 days 00:10:30.000000000;0;0;1
2014-12-07 07:00:00;0 days 00:30:01.000000000;0 days 00:29:59.000000000;0;1;1
2014-12-07 08:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-07 09:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-07 10:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-07 11:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;1;1;0
2014-12-07 12:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-07 13:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-07 14:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-07 15:00:00;0 days 00:24:28.000000000;0 days 00:35:32.000000000;0;1;1
2014-12-07 16:00:00;0 days 00:00:00.000000000;0 days 00:04:57.000000000;0;0;1
2014-12-07 17:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-07 18:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-07 19:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-07 20:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-07 21:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-07 22:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-07 23:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-08 00:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-08 01:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-08 02:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-08 03:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-08 04:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-08 05:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-08 06:00:00;0 days 00:00:00.000000000;0 days 00:09:23.000000000;0;0;1
2014-12-08 07:00:00;0 days 00:28:48.000000000;0 days 00:31:12.000000000;0;1;1
2014-12-08 08:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-08 09:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-08 10:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-08 11:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;1;1;0
2014-12-08 12:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-08 13:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-08 14:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-08 15:00:00;0 days 00:24:07.000000000;0 days 00:35:53.000000000;0;1;1
2014-12-08 16:00:00;0 days 00:00:00.000000000;0 days 00:04:42.000000000;0;0;1
2014-12-08 17:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-08 18:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-08 19:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-08 20:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-08 21:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-08 22:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-08 23:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-09 00:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-09 01:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-09 02:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-09 03:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-09 04:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-09 05:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-09 06:00:00;0 days 00:00:00.000000000;0 days 00:08:18.000000000;0;0;1
2014-12-09 07:00:00;0 days 00:27:38.000000000;0 days 00:32:22.000000000;0;1;1
2014-12-09 08:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-09 09:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-09 10:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-09 11:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;1;1;0
2014-12-09 12:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-09 13:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-09 14:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-09 15:00:00;0 days 00:23:50.000000000;0 days 00:36:10.000000000;0;1;1
2014-12-09 16:00:00;0 days 00:00:00.000000000;0 days 00:04:30.000000000;0;0;1
2014-12-09 17:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-09 18:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-09 19:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-09 20:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-09 21:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-09 22:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
